test_id,node,test_category,test_description,test,result,failure_reason
1,DC2-BL1A,NTP,Synchronised with NTP server,NTP,PASS
2,DC2-BL1B,NTP,Synchronised with NTP server,NTP,PASS
3,DC2-L2LEAF1A,NTP,Synchronised with NTP server,NTP,PASS
4,DC2-LEAF1A,NTP,Synchronised with NTP server,NTP,PASS
5,DC2-LEAF1B,NTP,Synchronised with NTP server,NTP,PASS
6,DC2-SPINE1,NTP,Synchronised with NTP server,NTP,PASS
7,DC2-SPINE2,NTP,Synchronised with NTP server,NTP,PASS
8,DC2-BL1A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_DC2-SPINE1_Ethernet3,PASS
9,DC2-BL1A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet10 - P2P_LINK_TO_DC1-BL1A_Ethernet10,PASS
10,DC2-BL1A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_DC2-SPINE2_Ethernet3,PASS
11,DC2-BL1A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet3 - MLAG_PEER_DC2-BL1B_Ethernet3,PASS
12,DC2-BL1A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet4 - MLAG_PEER_DC2-BL1B_Ethernet4,PASS
13,DC2-BL1B,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_DC2-SPINE1_Ethernet4,PASS
14,DC2-BL1B,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet10 - P2P_LINK_TO_DC1-BL1B_Ethernet10,PASS
15,DC2-BL1B,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_DC2-SPINE2_Ethernet4,PASS
16,DC2-BL1B,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet3 - MLAG_PEER_DC2-BL1A_Ethernet3,PASS
17,DC2-BL1B,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet4 - MLAG_PEER_DC2-BL1A_Ethernet4,PASS
18,DC2-L2LEAF1A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1 - DC2-LEAF1A_Ethernet3,PASS
19,DC2-L2LEAF1A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet2 - DC2-LEAF1B_Ethernet3,PASS
20,DC2-L2LEAF1A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet3 - server-2_Eth1,PASS
21,DC2-LEAF1A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_DC2-SPINE1_Ethernet1,PASS
22,DC2-LEAF1A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_DC2-SPINE2_Ethernet1,PASS
23,DC2-LEAF1A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet13 - MLAG_PEER_DC2-LEAF1B_Ethernet13,PASS
